person_id,income_regularity,gig_income_consistency,late_bill_payment_rate,avg_days_late,spending_volatility,spending_to_income_ratio,income_month_count,gig_income_month_count,has_income,has_gig_income,has_income_observations,has_gig_income_observations,is_thin_data,avg_monthly_upi_count,avg_monthly_upi_volume,upi_failed_rate,p2p_to_p2m_ratio,gst_on_time_rate,gst_avg_days_late,gst_turnover_trend,has_gst_data,psychometric_discipline_score,psychometric_score_variance,avg_response_time_seconds,geo_economic_index
USR_00010C8E,0.6186918108859547,0.6186918108859547,0.029411764705882353,5.970995828231846,0.42421711320429467,1.475918917968155,11.0,11.0,1.0,1.0,1.0,1.0,0.0,3.9166666666666665,3827.56,0.02127659574468085,0.42424242424242425,0.7,0.0,0.0,0.0,0.75,0.6666666666666666,16.162,0.4374074919258624
USR_000A9FC0,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.6615793047552606,1.0,0.825,1.5666666666666667,8.286,0.32420618529537004
USR_000CD785,0.0719722457733622,0.030986122886681098,0.5,1.7772151011503718,3.0,0.3681025321824049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,181.02833333333334,0.0,2.0,0.7,0.0,0.0,0.0,0.45,0.6222222222222222,18.373,0.6537765748395655
USR_000CFE1B,0.5013563205734373,0.5013563205734373,0.03184713375796178,5.32306344709914,0.2318827467861343,2.0292480281821423,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.1666666666666667,966.9466666666667,0.14285714285714285,0.2727272727272727,0.7,0.0,0.0,0.0,0.7,0.6222222222222222,16.893,0.421645062206891
USR_000E50F7,0.07772588722239782,0.033862943611198904,0.3333333333333333,1.9706132101953737,3.0,0.2402976064000216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9166666666666667,2345.3666666666663,0.0,0.4375,0.7,0.0,0.0,0.0,0.725,1.2111111111111112,17.461,0.3505341323185255
USR_00132427,0.5518885523960183,0.5518885523960183,0.007936507936507936,0.6849283819941997,0.5901010228834919,0.25685624229426346,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,214.32166666666663,0.0,1.0,0.7,0.0,0.0,0.0,0.675,0.23333333333333334,15.944000000000003,0.3198641377011171
USR_00151F49,0.35536485159330955,0.35536485159330955,0.07317073170731707,1.3247901531325246,1.4942016815991377,0.1806010143428876,3.0,3.0,1.0,1.0,1.0,1.0,0.0,7.75,7642.134166666666,0.07526881720430108,0.32857142857142857,0.7,0.0,0.0,0.0,0.425,0.8999999999999999,19.775,0.4079013738483316
USR_001E4FD9,0.3793916407763712,0.3793916407763712,0.02531645569620253,0.5451388629858436,1.288008724546639,0.33627804366214414,4.0,4.0,1.0,1.0,1.0,1.0,0.0,3.0,2826.7608333333333,0.027777777777777776,0.5,0.7,0.0,0.0,0.0,0.95,0.17777777777777776,8.317999999999998,0.5001832714396842
USR_00213379,0.4241676671574999,0.4241676671574999,0.05128205128205128,5.987301383937261,1.156178927608512,1.7176005846515936,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.8,0.6222222222222222,16.146,0.8057729031304605
USR_0023C698,0.4782355155247835,0.4782355155247835,0.04950495049504951,5.469766580154858,0.8732739131479711,1.5650613330391527,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,268.9708333333333,0.2857142857142857,0.0,0.7,0.0,0.0,0.0,0.675,0.8999999999999999,16.374000000000002,0.3479500233390802
USR_00331B22,0.5103559723770686,0.5103559723770686,0.016666666666666666,1.4490740084572327,0.7313046193811081,0.23278075979820181,7.0,7.0,1.0,1.0,1.0,1.0,0.0,5.416666666666667,5449.060833333333,0.046153846153846156,0.5116279069767442,0.7,0.0,0.0,0.0,0.45,0.8444444444444446,18.633000000000003,0.6506429165515968
USR_003C4B30,0.4924775181579527,0.4924775181579527,0.0196078431372549,3.1554923936407215,0.8299251728212863,1.1239349453845662,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,823.2166666666667,0.0,0.4,0.7,0.0,0.0,0.0,0.95,0.17777777777777776,9.221,0.5556823712912818
USR_0040E930,0.419890290911322,0.419890290911322,0.0,0.0,1.142240800559873,0.30270841781265806,5.0,5.0,1.0,1.0,1.0,1.0,0.0,4.25,3965.9775000000004,0.0392156862745098,0.4166666666666667,0.7,0.0,0.0,0.0,0.575,1.1222222222222222,17.836,0.355668609994175
USR_00500DD7,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,0.5,476.83750000000003,0.0,0.5,0.7,0.0,0.0,0.0,0.7,0.6222222222222222,19.028999999999996,0.6456257492680091
USR_00550929,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,5.166666666666667,5343.703333333334,0.04838709677419355,0.3191489361702128,0.7,0.0,0.0,0.0,0.7,0.39999999999999997,17.082,0.8173145612895821
USR_00554E4B,0.4628365966766814,0.4628365966766814,0.009523809523809525,1.2104688786506064,0.7831240742684232,0.2638365220217182,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.75,1583.7916666666667,0.047619047619047616,0.75,0.7,0.0,0.0,0.0,0.7,0.8444444444444444,19.288999999999998,0.5066602894070251
USR_00593884,0.5136629941281916,0.5136629941281916,0.051470588235294115,5.099411493407449,0.582442055729012,1.6187721288646264,9.0,9.0,1.0,1.0,1.0,1.0,0.0,2.0833333333333335,1857.9183333333333,0.0,0.5625,0.7,0.0,0.0,0.0,0.425,1.122222222222222,22.582,0.5671998628840865
USR_005E432B,0.5510948333196385,0.5510948333196385,0.041666666666666664,4.401652314977863,0.5078181688108819,1.6015070743290145,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.9166666666666667,1716.6274999999998,0.13043478260869565,0.5333333333333333,1.0,0.0,-0.5644900728601958,1.0,0.65,0.9333333333333333,16.088,0.36017337129369537
USR_005F0719,0.3988812620579556,0.3988812620579556,0.013333333333333334,3.537505224369689,1.2724773471319692,1.8205602677835029,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,994.1941666666667,0.0,0.7142857142857143,0.7,0.0,0.0,0.0,0.575,0.6777777777777777,19.074,0.5205190879266187
USR_006C51BF,0.5596478616263101,0.5596478616263101,0.032520325203252036,4.349957170513751,0.7146217211387728,1.0952043591170681,8.0,8.0,1.0,1.0,1.0,1.0,0.0,1.1666666666666667,1168.9258333333335,0.0,0.2727272727272727,1.0,0.0,-0.3858752612278357,1.0,0.75,1.1111111111111112,17.158,0.5779925606418888
USR_0071BADE,0.4719243212518367,0.4719243212518367,0.03125,5.402622399318042,0.8645708509828216,1.2280446228710258,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.25,1375.0091666666665,0.2,0.25,0.7,0.0,0.0,0.0,0.75,0.6666666666666666,17.642,0.6409033616724574
USR_00761C08,0.6704575364885231,0.6704575364885231,0.02702702702702703,1.264713032792443,0.4663985102773944,0.2805681168548618,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,738.9516666666667,0.0,0.6666666666666666,0.7,0.0,0.0,0.0,0.375,0.2777777777777778,14.480999999999998,0.351900292396766
USR_0089E28E,0.38046934884565436,0.38046934884565436,0.031746031746031744,0.8977392967190392,1.2609909687653122,0.20582692983481995,4.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0833333333333335,2296.566666666666,0.08,0.25,0.7,0.0,0.0,0.0,0.65,1.6,16.036,0.5707491383395895
USR_008F43B4,0.36598089461454925,0.36598089461454925,0.05172413793103448,5.593808155950014,1.220252421848896,4.698249013772579,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,680.8525,0.1,0.6666666666666666,0.0,18.916666666666668,1.0,1.0,0.85,0.48888888888888893,7.8870000000000005,0.47616904405496774
USR_008F9F15,0.4168289281693257,0.4168289281693257,0.0,0.0,0.9812886815751619,0.39261886885960173,5.0,5.0,1.0,1.0,1.0,1.0,0.0,7.166666666666667,6650.251666666666,0.05813953488372093,0.3870967741935484,0.7,0.0,0.0,0.0,0.425,0.6777777777777778,13.018,0.43762161605463984
USR_0095B040,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1006.815,0.16666666666666666,0.2,1.0,0.0,1.0,1.0,0.775,0.5444444444444444,17.387999999999998,0.6008742915060147
USR_00A4071A,0.6173507807691554,0.6173507807691554,0.0196078431372549,0.9714005387379715,0.4419170534951172,0.2727202684089457,10.0,10.0,1.0,1.0,1.0,1.0,0.0,0.75,521.2033333333334,0.1111111111111111,0.2857142857142857,0.7,0.0,0.0,0.0,0.475,0.9888888888888889,22.323999999999998,0.5929135090733981
USR_00AE568E,0.0719722457733622,0.030986122886681098,0.0,0.0,3.0,0.08764059082944538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,301.25,0.0,0.0,0.7,0.0,0.0,0.0,0.6,1.1555555555555554,16.99,0.3616980861935907
USR_00AF6283,0.5976692085687445,0.5976692085687445,0.049019607843137254,4.966877830096751,0.7817245141847263,1.2042268897516986,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.7,1.511111111111111,15.513,0.4173472817996299
USR_00B18DFE,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,5.5,5939.1525,0.0,0.5714285714285714,0.7,0.0,0.0,0.0,0.85,1.1555555555555554,8.089000000000002,0.4084344466997562
USR_00BBF4C9,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,7.0,6977.314166666667,0.03571428571428571,0.3125,1.0,0.0,-0.2485399861332673,1.0,0.65,1.6,22.781,0.3283078767447821
USR_00C21674,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.65,0.9333333333333333,15.834999999999999,0.4502914249674603
USR_00C5A121,0.5741831256772213,0.5741831256772213,0.006896551724137931,0.9881067173276381,0.5920611404858321,0.4150387690644328,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.4166666666666667,402.60999999999996,0.2,0.25,0.7,0.0,0.0,0.0,0.625,0.9444444444444444,13.681999999999999,0.3776085878003059
USR_00D2D10F,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,4.5,4364.925,0.037037037037037035,0.7419354838709677,0.7,0.0,0.0,0.0,0.425,0.6777777777777778,24.731,0.4616400897402188
USR_00DDA2CE,0.3090126568435449,0.3090126568435449,0.03225806451612903,2.2981584898263043,1.754627306937072,1.3255472239751538,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.65,1.1555555555555557,15.982000000000003,0.49165721173234056
USR_00E16DD4,0.47928224449309337,0.47928224449309337,0.0,0.0,0.8343236361666976,0.37414358010726534,6.0,6.0,1.0,1.0,1.0,1.0,0.0,6.75,5919.555833333335,0.012345679012345678,0.32786885245901637,0.7,0.0,0.0,0.0,0.5,1.1111111111111112,24.575,0.31922853261433976
USR_00E241C9,0.5254664914375136,0.5254664914375136,0.03680981595092025,4.113658999190825,0.41552961758317464,1.8026579480518596,9.0,9.0,1.0,1.0,1.0,1.0,0.0,4.333333333333333,4549.670833333333,0.057692307692307696,0.4857142857142857,0.7,0.0,0.0,0.0,0.65,0.9333333333333333,21.855000000000004,0.3819139141602384
USR_00E2E116,0.4838764117227752,0.4838764117227752,0.011494252873563218,1.5925564214051688,0.6806086591331661,0.1988970176212507,7.0,7.0,1.0,1.0,1.0,1.0,0.0,1.1666666666666667,1159.6625000000001,0.0,0.75,0.7,0.0,0.0,0.0,0.725,0.32222222222222224,18.862000000000002,0.5748678856349482
USR_00E76DDD,0.3639124349882011,0.3639124349882011,0.0,0.0,1.7921866099018355,0.729235412806318,3.0,3.0,1.0,1.0,1.0,1.0,0.0,6.166666666666667,5529.139166666668,0.05405405405405406,0.21311475409836064,1.0,0.0,0.33849273217506476,1.0,0.85,0.48888888888888893,18.741,0.7361902141080606
USR_00EC4DEE,0.29238701875830875,0.29238701875830875,0.012987012987012988,0.6855153277402731,1.2239389819813435,0.6968998487032647,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.21605719917371097,1.0,0.45,1.0666666666666669,26.002999999999997,0.4250747229597524
USR_00F5157F,0.5704697066628547,0.5704697066628547,0.007246376811594203,0.8532726469545835,0.4559443472742508,0.2860189021977345,9.0,9.0,1.0,1.0,1.0,1.0,0.0,3.8333333333333335,4310.331666666667,0.043478260869565216,0.7037037037037037,0.7,0.0,0.0,0.0,0.75,0.4444444444444444,18.014000000000003,0.3302096041343057
USR_00F9E421,0.5470753747949393,0.5470753747949393,0.007751937984496124,1.7016131779005108,0.5636094352009324,0.29651567176352867,8.0,8.0,1.0,1.0,1.0,1.0,0.0,4.333333333333333,4033.4166666666665,0.07692307692307693,0.3684210526315789,1.0,0.0,0.032315999045504806,1.0,0.675,1.1222222222222222,17.862000000000002,0.45889856582943206
USR_01027051,0.44556859061751064,0.44556859061751064,0.02247191011235955,1.0927606550038347,1.0825779369428583,0.23596555044462558,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.875,0.2777777777777778,8.8,0.9557271584385904
USR_010FB44D,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,7.0,7147.2941666666675,0.08333333333333333,0.5272727272727272,0.0,18.0,-0.5424147022708586,1.0,0.9,0.48888888888888893,7.837000000000001,0.34039967768614793
USR_0110F7E1,0.2962279995742264,0.2962279995742264,0.018518518518518517,1.1173694987156126,1.7449018612404015,0.34358651475044033,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.25,207.83749999999998,0.0,0.5,0.7,0.0,0.0,0.0,0.725,0.7666666666666666,20.64,0.489821805856856
USR_01229EBD,0.25,0.25,,,0.35,1.0,0.0,0.0,,,0.0,0.0,1.0,3.0,3006.9474999999998,0.08333333333333333,0.44,0.7,0.0,0.0,0.0,0.775,0.32222222222222224,17.266,0.6327943834969882
USR_01256D38,0.49170488281462904,0.49170488281462904,0.022222222222222223,5.914661611588954,0.7892005444674803,1.0511020452832749,8.0,8.0,1.0,1.0,1.0,1.0,0.0,3.25,3867.611666666666,0.07692307692307693,0.25806451612903225,0.7,0.0,0.0,0.0,0.7,1.2888888888888888,18.291999999999998,0.6432531992382795
USR_012A64C3,0.5963241063778503,0.5963241063778503,0.047619047619047616,4.5606620742748545,0.3796096707992728,1.2354459926447277,10.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0833333333333335,2039.3475,0.16,0.25,0.7,0.0,0.0,0.0,0.775,0.32222222222222224,15.857,0.49654553029033344
USR_012C920D,0.3052950091773653,0.3052950091773653,0.0,0.0,1.7576858301045386,0.5500061177746359,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4428882263972284,1.0,0.75,0.8888888888888888,19.125,0.5179948003041537
